date,total_posts,positive,negative,neutral,sentiment
2023-01-20,693,219,83,392,0.06737761974249791
2023-01-21,755,252,80,423,0.07910410834894632
2023-01-22,452,166,61,225,0.0719053164539989
2023-01-23,569,183,68,318,0.06726699901725794
2023-01-24,535,185,63,287,0.0796399498072145
2023-01-25,623,219,73,332,0.07571374156735021
2023-01-26,524,172,61,291,0.06817950808027144
2023-01-27,499,171,54,274,0.07813549126356885
2023-01-28,374,143,38,193,0.10998765860797947
2023-01-29,591,214,60,317,0.0895492492573401
2023-01-30,568,185,65,318,0.05632023453410958
2023-01-31,464,148,57,259,0.06575421707971546
2023-02-01,519,164,49,306,0.08174860425208794
2023-02-02,592,196,45,351,0.07927738082034957
2023-02-03,447,159,56,232,0.06863565839429234
2023-02-04,439,149,43,247,0.06690582816586518
2023-02-05,412,146,42,224,0.06600741129488095
2023-02-06,362,140,56,166,0.0617770060581574
2023-02-07,464,212,51,201,0.10172970001741553
2023-02-08,392,164,50,178,0.07350442617072082
2023-02-09,587,259,85,243,0.08883602907676587
2023-02-10,421,184,70,167,0.08771583637773832
2023-02-11,393,177,49,167,0.09971175722347266
2023-02-12,327,119,65,143,0.06513769052473181
2023-02-13,386,173,53,160,0.10440096863541302
2023-02-14,395,172,48,175,0.11267696821776275
2023-02-15,598,223,73,303,0.08335240589327216
2023-02-16,664,242,76,346,0.07117286269446473
2023-02-17,521,221,72,228,0.09021779887953518
2023-02-18,379,165,47,167,0.10124803479099323
2023-02-19,464,158,62,244,0.06960489489308186
2023-02-20,518,203,57,258,0.07162150850990136
2023-02-21,497,190,55,252,0.0698666382154214
2023-02-22,476,165,40,271,0.08398991224826872
2023-02-23,433,140,62,231,0.05472442572294021
2023-02-24,399,152,50,197,0.08042400806169603
2023-02-25,382,129,44,210,0.07926235405151855
2023-02-26,378,126,57,195,0.061384894923845225
2023-02-27,500,176,73,251,0.06681211102092352
2023-02-28,480,197,50,233,0.09505841560863262
2023-03-01,472,147,58,267,0.05972888072232616
